Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,StreamingServices,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Age,Married,Number of Referrals,Avg Monthly GB Download,Premium Tech Support,Unlimited Data,Churn
No,1.0,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,No,Cash,2341.5,20,No,0,59,No,No,1
No,7.0,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,No,Cash,2208.0,63,No,0,28,No,Yes,1
No,9.0,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2242.5,55,No,0,12,No,Yes,1
No,1.0,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,eSewa,606.0,38,No,0,0,No,No,1
No,24.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2806.5,69,Yes,1,12,No,Yes,1
No,2.0,No,No,DSL,No,Yes,No,No,No,Month-to-month,Yes,Cash,751.5,22,No,0,73,No,Yes,1
No,27.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Cash,2866.5,70,Yes,1,7,No,Yes,1
No,57.0,No,No,DSL,No,Yes,Yes,No,No,Month-to-month,Yes,Cash,1179.0,23,No,0,59,No,No,1
No,1.0,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,eSewa,607.5,64,No,0,0,No,No,1
No,13.0,No,No,DSL,No,No,No,No,No,Month-to-month,Yes,Cash,717.0,30,No,0,53,No,Yes,1
No,1.0,Yes,No,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Cash,2563.5,48,No,0,23,No,Yes,1
No,63.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,One year,No,Mobile Banking,2997.0,22,No,0,59,No,Yes,1
No,25.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2544.0,64,No,0,22,No,Yes,1
No,35.0,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2256.0,48,Yes,1,12,No,Yes,1
No,71.0,No,No,DSL,No,Yes,Yes,No,No,Two year,No,Cash,1480.5,44,Yes,1,25,No,No,1
No,6.0,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2247.0,49,No,0,11,No,Yes,1
No,15.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Cash,3037.5,43,No,0,26,No,Yes,1
No,9.0,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,eSewa,568.5,59,No,0,0,No,No,1
No,37.0,No,No,DSL,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),858.0,31,No,0,10,Yes,Yes,1
No,2.0,No,No,DSL,No,No,No,No,No,Month-to-month,No,Cash,730.5,79,No,0,11,No,Yes,1
No,29.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Month-to-month,No,Cash,2959.5,76,No,0,16,Yes,Yes,1
No,5.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Mobile Banking,2397.0,78,Yes,1,14,No,No,1
No,28.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Cash,3099.0,79,No,0,10,Yes,Yes,1
No,11.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),2886.0,60,Yes,5,19,Yes,Yes,1
No,55.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,One year,Yes,Cash,3124.5,21,Yes,1,76,Yes,Yes,1
No,24.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),3088.5,73,No,0,26,No,Yes,1
No,1.0,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,No,Cash,2718.0,41,No,0,22,No,Yes,1
No,6.0,Yes,No,DSL,No,No,No,No,Yes,Month-to-month,Yes,Mobile Banking,1524.0,51,No,0,12,Yes,Yes,1
No,4.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,Cash,2701.5,42,No,0,11,No,No,1
No,3.0,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2275.5,61,Yes,1,29,No,Yes,1
Yes,1.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2055.0,39,Yes,1,11,No,Yes,1
No,11.0,Yes,No,Fiber optic,Yes,No,No,No,No,Month-to-month,Yes,Cash,2205.0,30,No,0,30,No,Yes,1
No,1.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,eSewa,2098.5,29,No,0,46,No,Yes,1
No,5.0,Yes,No,DSL,No,Yes,No,Yes,No,Month-to-month,Yes,Cash,2101.5,52,No,0,26,No,Yes,1
No,8.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Cash,2820.0,59,No,0,14,No,Yes,1
Yes,22.0,Yes,No,DSL,Yes,No,Yes,Yes,No,Month-to-month,No,eSewa,1834.5,21,Yes,1,30,No,No,1
No,29.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Month-to-month,Yes,Cash,2533.5,37,Yes,0,12,No,Yes,1
No,13.0,Yes,Yes,DSL,No,Yes,No,Yes,No,One year,Yes,eSewa,2259.0,20,Yes,1,82,No,Yes,1
No,43.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,One year,Yes,eSewa,3286.5,74,Yes,7,13,Yes,Yes,1
No,3.0,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,eSewa,588.0,38,No,0,0,No,No,1
No,2.0,Yes,No,DSL,Yes,Yes,No,Yes,No,Month-to-month,No,Mobile Banking,1992.0,73,No,0,24,No,Yes,1
No,66.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),3001.5,71,Yes,6,14,Yes,Yes,1
No,62.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,One year,No,Cash,3060.0,63,No,0,21,Yes,No,1
No,17.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),2706.0,62,Yes,1,9,No,Yes,1
No,56.0,Yes,Yes,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),754.5,19,Yes,1,0,No,No,1
No,31.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),2395.5,58,No,0,12,Yes,Yes,1
No,2.0,Yes,No,DSL,No,No,Yes,No,No,Month-to-month,Yes,eSewa,1488.0,26,No,0,26,No,Yes,1
No,66.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),3178.5,68,Yes,1,11,Yes,Yes,1
Yes,3.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,No,Cash,2755.5,53,No,0,21,No,Yes,1
Yes,1.0,No,No,DSL,No,Yes,No,No,Yes,Month-to-month,No,Cash,1203.0,42,Yes,1,12,Yes,No,1
No,31.0,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2217.0,70,No,0,2,No,Yes,1
No,14.0,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,eSewa,2694.0,57,No,0,29,No,Yes,1
Yes,35.0,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Month-to-month,No,Cash,2167.5,28,Yes,1,82,Yes,Yes,1
No,37.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2896.5,66,No,0,2,No,Yes,1
No,7.0,No,No,DSL,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),1203.0,36,No,0,19,No,Yes,1
No,24.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,Cash,3037.5,65,No,0,30,No,Yes,1
No,1.0,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,No,Cash,2386.5,58,No,0,15,No,No,1
No,32.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,One year,No,Cash,2521.5,44,No,0,14,No,Yes,1
No,1.0,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2673.0,44,No,0,3,No,Yes,1
Yes,17.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Month-to-month,No,Cash,2832.0,57,Yes,1,12,No,Yes,1
No,19.0,Yes,No,Fiber optic,No,No,Yes,Yes,No,Month-to-month,Yes,Cash,2347.5,59,No,0,25,No,Yes,1
No,2.0,Yes,No,DSL,No,No,No,No,No,Month-to-month,Yes,Cash,1324.5,78,No,0,25,No,Yes,1
No,8.0,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2272.5,74,No,0,6,No,Yes,1
No,1.0,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,eSewa,573.0,35,No,0,0,No,No,1
No,1.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,Month-to-month,Yes,Cash,2409.0,78,Yes,1,21,No,Yes,1
No,1.0,Yes,No,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Cash,2247.0,26,No,0,30,No,Yes,1
No,9.0,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2425.5,79,No,0,2,No,Yes,1
No,3.0,No,No,DSL,No,No,No,No,No,Month-to-month,No,Cash,742.5,36,No,0,18,No,Yes,1
No,49.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),2725.5,76,No,0,15,No,Yes,1
No,2.0,Yes,No,Fiber optic,No,No,Yes,Yes,No,Month-to-month,No,Mobile Banking,2391.0,25,Yes,1,26,No,Yes,1
Yes,55.0,Yes,No,DSL,Yes,No,Yes,No,Yes,Two year,No,Mobile Banking,1726.5,28,Yes,1,48,Yes,No,1
No,21.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2595.0,50,Yes,3,29,No,Yes,1
Yes,69.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Cash,3118.5,42,Yes,1,27,No,Yes,1
No,1.0,No,No,DSL,No,No,No,No,No,Month-to-month,Yes,Cash,753.0,67,No,0,9,No,Yes,1
No,39.0,No,No,DSL,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),1468.5,27,No,0,48,Yes,Yes,1
Yes,6.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),2506.5,47,Yes,1,6,No,Yes,1
No,17.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Cash,2674.5,80,No,0,28,No,Yes,1
Yes,1.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,eSewa,2113.5,42,No,0,8,No,No,1
No,58.0,Yes,No,DSL,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),1809.0,31,Yes,1,21,No,Yes,1
Yes,1.0,No,No,DSL,No,No,No,No,No,Month-to-month,No,Cash,742.5,56,No,0,57,No,Yes,1
Yes,19.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,No,Cash,3099.0,34,Yes,1,22,Yes,Yes,1
No,3.0,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2355.0,39,No,0,7,No,Yes,1
No,3.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,eSewa,595.5,24,No,0,0,No,No,1
No,3.0,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2397.0,77,No,0,3,No,Yes,1
No,30.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,Cash,2991.0,73,No,0,8,No,No,1
No,15.0,Yes,Yes,DSL,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),1758.0,29,No,0,59,Yes,Yes,1
No,10.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Cash,2955.0,35,Yes,1,18,No,Yes,1
No,1.0,Yes,No,DSL,No,No,No,Yes,No,Month-to-month,Yes,eSewa,1513.5,39,No,0,17,No,Yes,1
Yes,38.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Cash,2839.5,25,Yes,1,30,No,Yes,1
No,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),3007.5,45,No,0,17,No,Yes,1
No,16.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Cash,2653.5,44,No,0,5,No,No,1
No,1.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2095.5,51,No,0,19,No,Yes,1
No,12.0,Yes,No,Fiber optic,Yes,No,No,Yes,No,Month-to-month,No,Mobile Banking,2451.0,44,No,0,3,No,Yes,1
No,4.0,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2397.0,27,No,0,46,No,Yes,1
No,15.0,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),762.0,22,No,0,0,No,No,1
No,41.0,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Month-to-month,Yes,Mobile Banking,2512.5,74,Yes,1,18,No,Yes,1
No,1.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,eSewa,627.0,21,No,0,0,No,No,1
No,1.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,eSewa,2082.0,47,Yes,1,12,No,No,1
No,7.0,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2247.0,62,No,0,25,No,Yes,1
No,42.0,Yes,No,Fiber optic,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),2224.5,76,Yes,1,21,No,Yes,1
No,1.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2103.0,58,No,0,30,No,Yes,1
Yes,12.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,Month-to-month,Yes,Cash,2349.0,34,No,0,25,No,Yes,1
No,55.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2904.0,40,No,0,29,No,Yes,1
No,17.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Month-to-month,Yes,Cash,2832.0,57,No,0,23,No,Yes,1
No,1.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Month-to-month,No,Cash,2529.0,27,No,0,59,No,No,1
Yes,72.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),2773.5,78,Yes,0,6,Yes,Yes,1
No,11.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Cash,2986.5,78,Yes,1,14,No,Yes,1
No,8.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Cash,2437.5,66,No,0,26,No,Yes,1
Yes,1.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mobile Banking,598.5,52,Yes,1,0,No,No,1
No,23.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Cash,2977.5,33,Yes,1,7,No,Yes,1
No,39.0,Yes,No,Fiber optic,No,No,No,Yes,Yes,Two year,Yes,Cash,2413.5,39,No,0,27,Yes,Yes,1
Yes,9.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Mobile Banking,2380.5,30,Yes,1,59,No,No,1
No,15.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,Cash,2392.5,42,No,0,21,No,Yes,1
Yes,30.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Cash,3001.5,64,Yes,1,22,No,Yes,1
No,1.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2080.5,64,No,0,27,No,Yes,1
No,3.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,Month-to-month,No,Cash,2574.0,20,No,0,73,Yes,Yes,1
Yes,67.0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Two year,Yes,Cash,2391.0,49,Yes,0,3,No,Yes,1
No,1.0,Yes,Yes,DSL,No,No,No,No,No,Month-to-month,No,eSewa,1516.5,69,No,0,2,No,Yes,1
No,1.0,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2416.5,25,Yes,1,73,No,No,1
Yes,12.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Cash,2535.0,28,Yes,1,59,No,Yes,1
No,22.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,eSewa,2529.0,25,No,0,52,No,Yes,1
No,2.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2032.5,58,No,0,4,No,Yes,1
No,27.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2557.5,74,No,0,25,No,Yes,1
No,10.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,Mobile Banking,2401.5,60,No,0,10,No,Yes,1
No,1.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,eSewa,600.0,30,No,0,0,No,No,1
No,22.0,Yes,No,DSL,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),1464.0,32,No,0,30,No,No,1
No,1.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2551.5,68,No,0,7,No,Yes,1
Yes,21.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Cash,3084.0,52,Yes,1,3,Yes,Yes,1
No,6.0,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,eSewa,2998.5,26,No,0,59,Yes,Yes,1
No,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mobile Banking,3534.0,31,Yes,1,8,Yes,Yes,1
No,54.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,Cash,2385.0,68,No,0,10,No,Yes,1
No,3.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Yes,Mobile Banking,2389.5,33,Yes,1,17,Yes,Yes,1
No,8.0,Yes,No,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Cash,2841.0,44,No,0,10,No,No,1
No,5.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Cash,2775.0,33,No,0,25,No,Yes,1
Yes,1.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,eSewa,583.5,54,Yes,1,0,No,No,1
No,2.0,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2266.5,32,No,0,28,No,Yes,1
Yes,1.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2100.0,38,Yes,1,4,No,Yes,1
Yes,65.0,Yes,No,DSL,Yes,Yes,No,No,Yes,Two year,Yes,Mobile Banking,2244.0,56,Yes,1,30,Yes,Yes,1
No,33.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Cash,3132.0,46,Yes,1,12,No,Yes,1
No,15.0,Yes,No,Fiber optic,Yes,Yes,No,No,No,Month-to-month,No,Cash,2586.0,21,No,0,59,No,No,1
Yes,30.0,No,No,DSL,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),1536.0,57,Yes,1,12,Yes,Yes,1
No,2.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,eSewa,585.0,23,No,0,0,No,No,1
No,4.0,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2247.0,68,No,0,29,No,Yes,1
No,2.0,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,No,Credit card (automatic),2247.0,37,No,0,18,No,Yes,1
No,25.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,Cash,3007.5,59,No,0,3,No,Yes,1
No,25.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Month-to-month,Yes,eSewa,3084.0,75,No,0,30,No,Yes,1
No,43.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,One year,Yes,Cash,3000.0,56,No,0,23,Yes,No,1
No,10.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,Yes,Cash,2995.5,58,Yes,5,12,Yes,Yes,1
Yes,2.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Mobile Banking,2826.0,34,No,0,13,No,Yes,1
No,9.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2515.5,73,No,0,13,No,Yes,1
No,27.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),2649.0,72,No,0,11,No,Yes,1
No,69.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,One year,Yes,Mobile Banking,3121.5,50,No,0,24,Yes,Yes,1
No,22.0,Yes,No,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),2841.0,52,Yes,7,15,No,Yes,1
No,56.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Mobile Banking,3019.5,68,Yes,1,29,No,No,1
No,66.0,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Two year,Yes,Mobile Banking,2416.5,74,Yes,1,3,No,Yes,1
No,24.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,Month-to-month,Yes,Cash,2365.5,71,Yes,1,22,No,Yes,1
No,1.0,Yes,No,DSL,No,No,No,No,No,Month-to-month,Yes,eSewa,1333.5,63,No,0,22,No,Yes,1
No,36.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2547.0,46,No,0,22,No,Yes,1
No,1.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,eSewa,607.5,41,No,0,0,No,No,1
No,1.0,Yes,No,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,Cash,2230.5,56,No,0,11,No,Yes,1
No,1.0,Yes,Yes,DSL,No,No,No,Yes,Yes,Month-to-month,No,eSewa,1861.5,58,No,0,12,Yes,No,1
Yes,39.0,Yes,No,DSL,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),2400.0,42,Yes,1,9,Yes,Yes,1
No,5.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,No,eSewa,3123.0,43,No,0,8,No,Yes,1
No,24.0,No,No,DSL,Yes,Yes,No,No,No,Month-to-month,No,Mobile Banking,1173.0,75,Yes,1,5,No,Yes,1
No,2.0,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2295.0,30,No,0,30,No,Yes,1
No,5.0,Yes,No,DSL,No,No,No,No,Yes,Month-to-month,Yes,Cash,1476.0,47,No,0,18,Yes,Yes,1
No,11.0,Yes,Yes,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),694.5,42,No,0,0,No,No,1
Yes,4.0,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,No,Cash,2425.5,22,Yes,1,59,No,No,1
No,1.0,Yes,Yes,DSL,No,No,Yes,No,Yes,Month-to-month,No,eSewa,1803.0,26,No,0,85,Yes,Yes,1
No,1.0,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2368.5,62,No,0,22,No,Yes,1
No,2.0,Yes,No,DSL,No,No,No,No,No,Month-to-month,Yes,Cash,1354.5,56,No,0,21,No,Yes,1
No,3.0,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2382.0,28,No,0,76,No,Yes,1
No,44.0,No,No,DSL,No,Yes,Yes,Yes,No,One year,Yes,eSewa,1618.5,38,No,0,4,No,Yes,1
No,24.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),2979.0,63,Yes,0,28,No,Yes,1
No,18.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,Cash,2419.5,58,No,0,7,No,No,1
No,1.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,No,eSewa,2133.0,41,No,0,9,No,Yes,1
No,65.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,One year,Yes,Cash,3187.5,66,Yes,1,30,No,Yes,1
No,53.0,Yes,No,No,No,No,No,No,No,One year,No,Mobile Banking,624.0,25,Yes,1,0,No,No,1
No,1.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2820.0,76,No,0,29,No,Yes,1
No,15.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Month-to-month,No,Cash,2695.5,67,No,0,6,No,Yes,1
No,4.0,Yes,No,DSL,No,No,No,No,No,Month-to-month,Yes,eSewa,1380.0,48,No,0,16,No,Yes,1
No,9.0,Yes,No,DSL,No,Yes,Yes,No,Yes,Month-to-month,No,eSewa,1987.5,27,No,0,69,Yes,No,1
No,22.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Yes,Cash,2700.0,60,No,0,23,Yes,Yes,1
No,38.0,Yes,No,Fiber optic,No,No,No,No,No,One year,Yes,Mobile Banking,2113.5,39,No,0,17,No,Yes,1
Yes,53.0,Yes,No,No,No,No,No,No,No,Two year,No,Mobile Banking,592.5,62,No,0,0,No,No,1
No,1.0,Yes,No,DSL,Yes,No,No,No,Yes,Month-to-month,Yes,Cash,1618.5,49,No,0,11,Yes,Yes,1
No,8.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Cash,3165.0,79,No,0,15,No,Yes,1
Yes,16.0,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2430.0,40,No,0,12,No,No,1
Yes,1.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2094.0,34,Yes,1,13,No,Yes,1
No,7.0,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,No,eSewa,2212.5,78,No,0,7,No,Yes,1
No,9.0,Yes,Yes,DSL,Yes,No,No,No,No,Month-to-month,No,Cash,1636.5,79,No,0,7,No,Yes,1
No,37.0,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2287.5,78,No,0,17,No,Yes,1
No,5.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,eSewa,2817.0,44,No,0,10,No,Yes,1
No,3.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2112.0,71,No,0,3,No,Yes,1
Yes,31.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,Cash,2734.5,39,Yes,1,13,No,No,1
No,2.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2128.5,45,No,0,26,No,Yes,1
No,37.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Cash,2985.0,26,Yes,1,27,No,Yes,1
No,38.0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),2517.0,26,No,0,48,No,Yes,1
No,48.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Cash,3523.5,76,Yes,9,5,Yes,Yes,1
No,10.0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Cash,3132.0,37,No,0,2,No,Yes,1
No,8.0,No,No,DSL,No,No,No,Yes,No,Month-to-month,Yes,Cash,882.0,65,No,0,4,No,Yes,1
